date,nav,after_tax_nav,bench_nav,bench_after_tax_nav,spy_bench_nav,regime
2026-08-04,9990.0,9990.0,9990.0,9990.0,10000.0,RISK_ON
2026-08-07,10065.73,10046.8,10065.73,10046.8,10025.02,RISK_ON
2026-08-14,10090.86,10065.64,10090.86,10065.64,10064.95,RISK_ON
2026-08-17,10067.9,10048.42,10067.9,10048.42,10017.37,RISK_ON
2026-08-18,10015.51,10009.13,10015.51,10009.13,9949.7,RISK_ON
2026-08-19,10084.74,10061.06,10084.74,10061.06,9970.57,RISK_ON
2026-08-20,10028.21,10018.66,10028.21,10018.66,9886.82,RISK_ON
2026-08-21,10065.35,10046.51,10065.35,10046.51,9927.27,RISK_ON
2026-08-24,10065.34,10046.51,10065.34,10046.51,9898.1,RISK_ON
2026-08-25,10105.19,10076.4,10105.19,10076.4,9929.73,RISK_ON
