date,regime,spy_price,ma200
2026-08-04,RISK_ON,771.33,698.4713
2026-08-07,RISK_ON,773.26,700.1297
2026-08-14,RISK_ON,776.34,702.7531
2026-08-14,RISK_ON,776.34,702.7531
2026-08-17,RISK_ON,772.67,703.2094
2026-08-18,RISK_ON,767.45,703.6379
2026-08-19,RISK_ON,769.06,704.112
2026-08-20,RISK_ON,762.6,704.5427
2026-08-21,RISK_ON,765.72,704.9827
2026-08-24,RISK_ON,763.47,705.4516
2026-08-25,RISK_ON,765.91,705.921
2026-08-26,RISK_ON,766.08,706.4274
2026-08-27,RISK_ON,771.1,706.9557
2026-08-28,RISK_ON,769.35,707.4232
2026-08-31,RISK_ON,767.05,707.8715
2026-09-01,RISK_ON,761.78,707.8337
2026-09-02,RISK_ON,765.16,708.7848
2026-09-03,RISK_ON,773.17,709.3186
2026-09-04,RISK_ON,770.19,709.8685
2026-09-08,RISK_ON,765.96,710.4251
2026-09-09,RISK_ON,762.4,710.9511
2026-09-10,RISK_ON,757.83,711.5045
2026-09-11,RISK_ON,764.29,712.0578
2026-09-14,RISK_ON,760.88,712.546
2026-09-15,RISK_ON,757.39,712.9856
2026-09-16,RISK_ON,754.05,713.3854
2026-09-17,RISK_ON,762.6,713.8095
2026-09-18,RISK_ON,761.69,712.4848
2026-09-21,RISK_ON,773.5,712.981
2026-09-23,RISK_ON,767.81,713.4371
2026-09-24,RISK_ON,767.18,714.3626
